Sample ID,Community,pH,Temp,EC,TDS,Na+,K+,Mg2+,Ca2+,Cl-,SO42-,HCO3-,NO3-,F-
,,8.32,26.34,777.09,253.41,8.80,42.70,0.86,1.64,1.02,34.04,83.74,79.78,19.07
,,7.64,27.87,429.08,370.80,3.33,70.67,33.53,0.95,12.64,16.56,211.77,85.31,3.42
,,6.78,25.63,511.63,246.03,8.13,39.10,67.59,39.57,5.03,29.61,259.22,73.76,6.09
,,8.75,27.34,753.70,297.56,0.57,72.47,58.24,38.69,2.17,39.37,281.69,83.07,11.12
,,7.49,28.18,635.86,344.64,0.73,55.25,20.47,2.49,7.24,23.50,257.68,32.46,6.69
,,8.00,25.77,716.10,294.05,0.33,61.95,11.54,10.57,0.51,32.17,312.12,62.14,2.53
,,7.97,28.22,337.33,331.09,8.03,91.47,23.93,38.27,10.52,20.49,73.55,71.32,15.84
,,8.13,25.48,674.41,304.66,4.80,43.45,9.41,35.43,10.73,36.38,119.30,44.31,4.35
,,8.48,28.97,572.81,250.32,5.97,99.47,8.79,7.14,7.36,14.23,252.95,87.37,1.12
,,7.03,25.21,314.11,346.06,2.51,95.33,3.35,10.62,12.32,0.69,176.91,6.66,0.87
,,9.40,30.08,602.34,395.94,3.70,54.21,34.18,40.50,9.83,20.56,196.67,51.70,11.94
,,7.70,26.40,315.23,333.63,6.63,5.78,59.46,13.11,1.95,6.78,296.62,35.81,15.46
,,7.83,25.50,397.34,387.08,2.68,18.62,1.51,22.22,2.63,7.74,151.98,71.95,13.45
,,6.69,29.02,415.24,288.39,4.25,100.73,65.23,10.28,0.40,10.52,333.61,39.27,2.58
,,7.34,28.95,710.34,187.88,7.14,79.76,43.92,24.14,14.04,39.14,303.58,85.47,9.67
,,9.33,28.62,605.00,296.53,10.42,86.28,38.84,20.02,14.49,38.75,141.82,34.87,17.17
,,8.77,26.70,526.15,282.88,1.58,46.85,65.97,30.94,3.18,34.14,176.98,69.75,2.38
,,6.70,27.05,367.13,231.22,9.95,115.34,17.42,18.06,9.31,2.46,309.33,51.28,14.18
,,7.86,25.50,512.04,343.21,0.55,2.92,42.81,2.11,3.64,23.67,103.73,74.43,17.69
,,7.91,27.70,347.21,335.78,2.31,65.86,57.20,21.13,5.49,22.03,158.12,90.31,1.46
,,7.54,27.82,490.94,332.98,7.78,78.08,2.33,13.60,14.57,16.34,237.90,69.91,2.01
,,7.01,29.80,269.44,211.93,8.51,115.16,5.91,14.23,6.14,29.81,321.22,47.03,6.74
,,7.02,29.53,442.72,225.73,8.25,53.96,68.47,6.75,9.50,12.28,184.93,67.44,3.88
,,7.05,28.45,733.66,297.13,9.31,31.17,40.70,32.04,3.99,31.10,361.14,61.61,17.24
,,7.68,26.29,378.49,399.28,1.35,84.39,42.14,20.23,2.38,18.50,169.67,60.68,16.22
,,6.57,25.91,671.13,297.83,1.22,76.15,19.06,37.65,5.77,21.85,351.22,22.64,3.97
,,8.94,27.55,678.92,380.38,3.48,103.21,58.75,7.50,2.54,22.61,362.41,12.31,2.46
,,7.01,27.30,373.87,292.81,4.69,49.97,10.52,10.96,1.04,9.28,133.05,87.00,11.45
,,8.22,27.67,451.81,224.84,1.20,100.20,37.06,1.35,7.45,20.18,187.20,26.63,1.90
,,6.78,25.87,380.09,238.29,6.33,35.89,50.74,1.47,8.98,11.96,291.18,54.15,19.18
,,8.46,26.44,746.08,401.78,9.41,40.32,29.12,28.13,12.99,22.32,157.75,14.89,3.40
,,8.26,28.96,724.93,211.64,3.52,24.64,6.40,29.25,14.02,2.40,226.26,58.01,3.46
,,9.36,25.21,383.80,385.43,9.61,15.11,52.74,4.64,10.63,6.59,372.42,77.32,1.80
,,7.65,28.75,680.54,223.28,6.36,64.80,1.88,15.48,12.95,32.39,225.22,57.61,10.20
,,7.86,27.32,533.55,202.78,7.76,17.99,7.53,15.93,2.61,38.24,284.07,64.17,16.60
,,8.23,25.48,571.02,325.45,11.10,4.04,19.83,42.26,11.77,6.75,348.26,79.24,18.55
,,9.50,28.84,642.35,246.75,0.94,94.52,48.15,17.28,7.28,28.83,378.09,44.88,0.31
,,9.18,27.89,384.70,294.92,10.15,19.49,31.73,22.75,2.91,4.90,396.80,52.97,6.62
,,8.26,28.73,700.24,309.66,3.95,37.43,39.14,32.99,14.48,15.45,185.00,87.95,9.97
,,9.01,29.95,777.97,347.25,4.74,77.64,18.28,11.02,11.50,21.79,245.57,25.69,10.75
,,9.24,26.60,453.09,246.30,9.99,31.35,49.35,28.12,11.41,6.13,272.49,51.17,5.13
,,7.47,29.49,598.27,289.40,8.08,10.88,32.85,38.34,2.88,13.27,135.44,44.16,13.15
,,6.45,26.20,356.63,384.41,1.70,68.11,62.97,16.63,12.70,6.63,145.76,58.31,15.15
,,6.57,27.10,607.13,222.09,6.07,10.35,32.53,36.12,5.27,2.56,95.33,90.88,17.42
,,7.24,26.79,595.23,326.34,6.33,47.09,28.92,32.79,9.35,7.54,136.73,55.03,15.88
,,6.86,25.76,363.00,345.54,4.21,60.81,37.29,13.32,14.56,17.79,196.29,77.78,11.85
,,9.26,28.34,717.29,323.52,0.71,117.59,22.55,2.52,4.96,32.09,282.03,68.96,7.03
,,6.61,29.56,421.04,308.21,5.39,53.28,7.67,2.81,8.93,35.22,107.65,78.50,17.93
,,6.51,29.86,330.89,347.83,5.20,83.29,45.32,27.99,11.90,24.12,262.61,84.43,15.33
,,9.38,25.63,692.76,371.26,4.69,99.50,65.89,41.30,5.39,20.86,348.14,45.61,6.25
,,7.99,28.97,365.96,250.13,2.17,45.22,61.65,14.80,1.37,16.40,176.76,84.09,13.70
,,8.53,26.70,308.31,381.36,9.88,108.40,45.23,3.63,8.79,5.09,280.52,88.43,8.05
,,6.91,26.81,726.77,280.81,4.68,80.03,36.08,22.72,5.09,34.82,130.36,14.69,11.73
,,6.65,25.74,349.10,399.45,10.51,72.32,21.11,14.25,8.83,35.42,329.60,30.91,12.85
,,7.06,26.42,533.35,270.54,5.38,107.44,48.70,34.51,9.06,25.11,183.64,36.55,8.41
,,7.45,29.09,545.83,352.50,9.78,7.82,30.31,42.16,7.37,41.16,96.78,26.72,19.10
,,7.90,27.49,475.19,271.15,2.96,48.22,41.42,3.62,11.52,2.64,222.62,21.85,6.43
,,9.43,25.48,606.53,333.59,6.22,25.95,46.55,14.61,10.28,7.03,65.57,36.20,3.09
,,7.93,29.93,422.15,231.25,2.21,40.21,26.43,32.33,2.01,4.02,328.19,91.93,12.34
,,8.33,28.32,432.64,372.59,6.98,23.19,33.97,16.68,9.25,8.86,311.11,39.60,19.13
,,8.06,26.53,683.83,324.23,5.61,95.71,57.43,19.59,5.92,2.51,185.38,85.92,7.32
,,9.04,26.45,684.29,203.17,0.54,88.00,33.90,6.05,0.85,40.64,281.07,35.98,15.50
,,7.48,28.06,679.98,189.78,9.02,69.73,60.40,24.81,7.78,20.04,206.13,81.77,1.37
,,8.84,27.16,416.64,354.31,10.63,10.95,27.21,39.83,12.09,29.54,59.00,88.16,2.70
,,9.13,27.11,758.25,393.48,5.33,88.31,4.53,39.18,9.03,21.57,245.54,24.31,14.54
,,6.65,27.95,464.06,247.38,10.80,11.41,41.17,5.90,9.13,7.01,302.08,41.08,14.86
,,8.82,27.64,643.11,245.05,9.01,114.68,62.19,35.06,4.13,21.12,248.81,38.94,13.16
,,8.08,29.94,424.04,246.87,2.14,70.33,11.93,31.39,8.82,22.37,287.97,77.64,16.65
,,7.24,27.59,337.14,403.00,4.90,23.32,32.88,29.90,10.93,38.21,169.65,36.80,15.49
,,6.62,26.92,634.99,351.25,5.51,37.18,38.07,32.68,1.44,28.62,67.93,80.68,19.13
,,7.99,25.37,668.43,191.46,6.80,64.90,1.99,39.88,4.73,27.34,134.30,40.14,15.13
,,6.97,26.36,533.52,368.89,2.42,73.65,39.33,14.63,14.28,30.20,289.81,68.45,0.15
,,6.51,29.73,650.96,205.59,9.61,73.92,44.94,38.13,13.52,23.84,200.75,25.51,10.93
,,7.82,27.43,707.80,220.54,9.92,74.87,31.73,33.27,6.76,9.63,143.10,86.28,4.76
,,8.21,27.06,720.18,266.13,7.15,95.26,6.14,37.40,3.83,40.26,342.93,28.69,2.17
,,8.31,29.23,351.99,346.23,6.37,26.95,30.27,28.60,10.13,16.35,353.70,86.77,17.01
,,7.57,26.50,315.39,255.94,2.76,95.95,54.92,13.29,3.13,5.10,102.06,59.65,13.18
,,6.86,26.91,494.19,365.30,2.42,48.75,68.43,4.57,7.70,23.75,278.84,35.75,15.22
,,9.10,29.97,676.98,371.82,3.66,54.09,5.50,31.88,11.51,35.70,223.73,5.95,13.09
,,8.43,26.24,523.92,215.44,0.52,75.51,19.47,18.49,6.93,22.72,256.13,16.46,14.90
,,6.47,27.81,466.58,309.35,0.80,116.91,3.19,20.19,6.67,22.34,340.41,4.02,11.73
,,8.03,26.75,381.49,276.97,3.24,45.74,32.14,6.90,3.63,6.76,355.66,9.01,17.04
,,7.33,30.09,629.11,276.43,8.94,86.09,16.87,36.52,6.68,1.17,309.84,55.80,17.00
,,7.55,27.47,510.85,360.92,5.70,35.68,3.81,4.10,12.95,38.75,173.91,3.22,18.34
,,8.14,28.18,624.80,335.04,1.26,9.62,66.56,24.03,0.46,33.75,201.14,29.51,2.83
,,7.85,26.85,341.19,376.14,1.34,51.72,37.28,9.11,2.39,27.47,80.84,57.22,1.67
,,9.31,27.50,369.75,395.18,5.41,103.88,30.77,15.73,6.12,10.32,174.37,27.75,8.87
,,8.11,25.98,448.21,346.19,9.01,44.62,33.43,22.41,9.91,5.87,218.86,17.79,9.30
,,6.67,27.59,329.03,242.31,9.32,33.35,55.09,23.00,9.11,16.61,98.76,41.94,11.03
,,6.96,29.09,567.47,270.06,7.40,117.25,27.01,41.22,11.04,9.41,372.43,65.73,16.62
,,7.69,25.48,353.33,217.61,5.95,88.83,52.11,14.07,4.90,5.51,332.54,67.97,15.23
,,7.64,26.65,767.77,225.91,8.75,73.58,2.63,7.45,3.44,40.95,88.05,36.67,19.07
,,7.66,28.42,645.67,252.75,11.01,26.57,47.15,37.03,4.12,6.66,133.44,66.08,4.03
,,9.12,27.97,478.17,341.46,10.72,101.66,68.34,11.10,14.38,7.92,353.00,40.81,18.94
,,8.77,25.65,793.23,317.85,3.18,99.25,52.91,17.00,1.42,13.57,106.98,72.24,6.59
,,9.29,28.87,643.57,396.06,0.99,98.66,10.01,18.48,0.55,17.90,198.98,74.60,12.66
,,7.75,28.10,686.87,397.50,8.70,45.90,43.42,35.88,5.26,11.22,219.51,55.68,11.31
,,7.70,28.98,522.97,323.53,8.90,85.76,51.33,28.08,7.55,17.78,136.47,92.32,8.14
,,6.63,29.31,498.26,406.00,5.05,113.82,11.33,39.08,11.98,11.45,280.86,64.00,7.39
,,8.80,25.66,754.30,333.51,5.26,49.44,12.76,3.57,5.27,12.86,66.43,72.25,15.82
,,7.89,28.33,315.08,374.85,0.61,58.46,60.34,14.71,7.82,24.71,392.13,47.39,0.02
,,8.45,28.98,399.36,371.57,5.87,17.89,36.75,23.14,2.18,3.74,114.33,36.02,19.01
,,7.28,26.78,465.98,365.21,7.94,79.00,11.46,41.63,9.69,11.68,339.39,46.46,7.12
,,7.99,28.33,757.09,306.96,1.94,15.83,56.15,22.70,11.97,9.38,214.98,56.36,10.29
,,7.96,28.43,342.46,356.50,7.19,51.08,65.18,28.67,7.15,4.83,212.00,28.79,9.43
,,7.36,26.49,415.91,400.24,1.23,48.82,20.72,12.69,11.12,8.35,248.02,54.92,10.57
,,7.96,28.32,661.89,188.45,10.28,100.80,62.41,3.75,4.20,36.47,137.28,42.67,10.88
,,9.02,26.46,722.12,265.05,7.91,83.83,32.63,12.83,11.34,8.98,166.66,40.81,10.48
,,8.14,26.49,656.55,323.13,6.55,64.70,28.92,18.40,10.08,15.16,394.63,33.31,19.40
,,9.13,26.99,390.98,272.99,4.15,84.10,21.32,27.83,6.42,32.53,271.47,37.08,2.91
,,8.09,25.47,580.66,320.79,10.01,90.36,53.35,14.47,3.25,22.71,251.92,26.45,6.16
,,6.98,28.95,642.04,397.36,6.27,80.70,10.56,35.83,4.97,5.89,219.21,63.31,1.24
,,6.98,27.27,515.60,210.96,4.10,57.87,17.85,16.87,11.66,18.57,125.60,26.98,10.55
,,6.71,27.27,471.57,222.52,1.88,31.73,12.73,15.91,6.15,41.76,156.72,51.30,13.38
,,7.93,28.59,750.23,259.20,6.12,33.28,8.58,24.73,9.52,32.82,107.74,15.21,2.40
,,8.86,28.52,770.06,187.97,2.71,55.40,41.97,20.86,3.42,11.88,309.33,29.19,7.67
,,8.25,26.59,619.01,382.79,2.94,39.55,31.58,21.26,12.90,39.99,146.82,40.65,12.25
,,7.34,25.34,285.26,302.73,4.14,105.21,50.89,41.50,8.83,0.52,243.52,69.91,8.07
,,8.03,25.63,688.68,214.76,10.28,66.85,66.42,12.71,4.23,33.42,285.77,19.40,4.52
,,7.68,29.08,302.49,365.67,10.01,58.26,56.27,25.36,5.38,18.18,135.70,57.80,7.89
,,9.14,25.78,282.87,248.03,10.56,28.81,16.45,21.38,4.21,14.84,195.96,65.11,9.97
,,8.54,28.89,425.47,280.97,8.64,62.45,63.14,0.13,4.73,17.04,125.08,36.60,9.04
,,7.22,30.04,484.41,407.80,9.86,38.37,38.93,25.47,14.13,41.15,303.93,68.15,6.46
,,8.30,25.80,641.51,189.05,4.55,70.41,32.32,5.43,13.56,18.52,383.15,33.20,5.49
,,6.96,25.30,432.96,391.13,9.99,70.05,6.69,42.47,7.35,9.71,397.82,55.57,0.47
,,6.46,29.77,776.31,273.65,6.18,64.40,66.79,27.62,9.97,4.56,79.69,40.62,2.38
,,6.77,28.03,371.60,269.81,5.73,35.21,52.93,34.06,11.85,32.57,344.81,14.26,17.00
,,9.37,30.02,635.53,188.32,6.24,117.77,6.02,41.91,2.13,27.41,179.81,51.56,8.57
,,7.55,29.64,537.03,293.39,6.12,39.97,52.02,24.66,4.08,26.73,160.75,82.08,18.96
,,9.46,27.27,736.32,342.94,9.71,4.91,67.74,2.13,11.69,5.88,314.85,6.99,16.87
,,8.63,29.92,640.07,358.72,5.83,13.91,0.89,4.60,0.42,37.21,64.45,15.46,17.84
,,9.21,27.45,711.57,301.90,0.27,51.04,11.10,11.69,8.27,31.02,81.31,69.53,17.45
,,8.82,26.78,446.59,223.85,2.45,8.49,47.51,21.89,4.03,24.80,171.25,6.05,5.67
,,9.11,28.70,619.18,192.99,2.09,26.34,18.32,13.89,10.49,12.41,190.94,76.52,2.93
,,7.45,26.96,329.47,197.70,7.79,50.96,42.95,34.01,5.13,23.10,308.75,77.78,8.13
,,6.82,30.00,778.87,305.07,10.82,53.49,42.54,13.24,3.12,34.51,209.70,37.08,12.66
,,9.14,27.07,753.70,362.82,4.31,44.40,41.43,41.58,5.17,16.34,208.08,76.19,10.63
,,7.88,26.36,277.01,188.76,6.27,8.52,44.49,33.54,10.06,16.29,384.21,30.49,8.48
,,7.48,27.64,351.94,340.56,6.72,86.50,2.43,9.65,4.95,1.07,196.70,35.50,18.41
,,7.60,27.16,451.97,215.95,7.87,10.12,52.45,26.16,3.53,17.50,290.10,40.67,9.27
,,7.30,27.21,575.39,198.27,8.15,95.11,4.78,31.89,7.38,27.74,254.67,38.82,9.40
,,6.84,25.42,295.74,387.08,5.26,60.71,46.60,7.68,9.19,8.50,236.67,5.75,9.75
,,9.14,27.38,318.53,284.32,8.04,104.05,28.73,3.63,11.01,16.22,306.65,55.03,16.30
,,6.95,28.34,293.50,215.93,2.27,109.46,12.03,28.26,3.48,32.59,167.59,24.51,16.73
,,8.89,27.76,688.15,287.87,7.40,111.07,25.05,34.76,5.64,41.64,384.67,41.27,9.33
,,8.75,25.97,284.64,382.66,5.13,17.64,7.47,4.10,2.32,36.02,91.50,21.14,14.24
,,8.29,25.46,548.29,234.49,3.32,102.65,41.41,2.04,9.46,36.78,72.35,7.91,6.37
,,7.84,28.15,532.09,282.70,7.14,85.66,32.82,34.09,9.42,27.37,138.39,23.85,18.17
,,6.67,27.20,685.03,225.57,6.99,100.27,52.63,2.76,12.81,28.93,124.30,42.44,11.81
,,7.61,29.91,351.49,225.14,2.31,17.22,67.23,32.87,5.88,38.31,112.81,10.65,11.97
,,8.66,27.23,608.97,196.40,0.68,10.81,29.71,32.00,9.64,27.82,399.02,12.90,8.31
,,9.08,28.79,565.24,191.00,8.13,57.01,15.21,7.05,14.68,39.36,182.73,91.42,2.75
,,6.53,26.08,496.50,348.70,3.18,13.90,2.77,35.89,13.15,5.73,399.63,20.33,2.65
,,8.60,27.77,601.23,354.74,4.37,6.64,39.00,6.27,4.60,1.42,91.18,53.83,11.24
,,6.68,29.72,507.73,200.22,1.57,4.28,49.38,26.64,4.98,13.58,327.62,43.39,15.92
,,8.24,30.07,375.32,366.69,0.73,79.80,55.59,28.63,6.07,26.28,111.99,5.29,19.45
,,9.26,25.59,609.32,312.34,1.08,25.33,17.04,3.05,6.51,36.50,69.92,13.08,14.15
,,7.40,25.96,325.28,298.40,1.91,8.22,2.98,19.32,4.78,6.63,377.18,70.41,11.56
,,9.02,26.39,690.21,305.68,2.35,50.32,53.57,29.98,0.58,11.72,208.78,76.58,18.05
,,9.31,28.56,369.23,256.10,10.88,107.94,61.74,4.31,11.72,11.68,388.86,61.81,2.70
,,7.76,25.83,400.00,316.47,7.22,26.03,38.70,40.53,14.06,29.57,180.94,75.07,6.60
,,6.70,26.71,750.49,369.38,2.95,36.41,40.51,16.40,14.35,21.98,269.96,75.08,19.28
,,7.27,26.94,676.46,215.58,4.35,51.09,3.54,30.12,1.31,35.91,156.64,27.25,13.27
,,8.61,26.50,377.37,269.35,3.27,89.73,10.23,29.11,11.16,37.98,310.33,68.03,1.62
,,6.94,26.07,588.62,236.42,0.63,68.54,2.47,37.62,6.23,17.43,388.82,10.83,8.38
,,7.57,29.79,274.54,311.35,6.78,60.03,8.15,42.19,2.16,33.23,222.23,92.49,18.26
,,8.82,27.39,693.11,266.09,11.13,61.57,68.02,9.02,4.73,23.72,345.34,80.39,2.11
,,9.18,27.54,796.99,339.54,10.51,104.14,10.93,32.31,5.15,1.77,226.18,67.00,10.50
,,9.24,26.40,534.07,378.26,4.63,38.15,16.46,4.23,5.09,20.92,143.30,9.98,14.03
,,9.29,29.37,327.16,223.83,2.52,104.38,48.79,34.56,8.68,33.09,398.89,55.59,0.87
,,7.56,25.54,280.23,321.35,10.00,4.17,9.07,26.90,11.23,1.11,264.17,40.43,9.75
,,8.56,28.48,379.42,292.14,4.62,33.99,67.42,16.88,11.11,18.32,267.95,22.43,16.25
,,9.40,26.48,791.16,198.44,8.68,106.93,13.33,18.50,9.73,5.58,75.07,64.19,10.76
,,8.77,26.31,302.09,191.98,10.71,78.26,55.53,34.58,14.37,11.56,216.08,75.78,4.72
,,6.46,28.24,510.25,354.11,0.93,52.06,11.54,6.30,2.06,13.20,244.46,59.36,8.40
,,7.20,25.35,378.13,267.62,6.63,22.22,11.29,3.83,7.89,19.56,144.85,3.66,10.78
,,9.32,28.23,731.95,236.93,7.41,101.61,59.81,4.64,1.97,27.32,219.71,5.48,3.03
,,7.43,28.79,494.13,394.77,9.53,76.41,45.44,31.64,9.78,9.24,334.68,75.14,3.45
,,7.78,28.25,585.84,218.76,6.55,42.91,24.72,13.37,5.49,40.92,215.15,86.18,7.27
,,8.40,26.04,794.00,361.53,5.67,29.49,28.97,28.05,4.56,12.39,147.21,52.29,1.08
,,8.73,27.89,441.27,343.94,6.82,28.63,37.76,9.84,4.85,17.39,306.91,80.61,8.25
,,9.32,26.17,657.79,354.73,5.04,114.93,38.66,41.85,5.40,17.18,160.28,29.84,9.40
,,8.44,29.84,721.08,350.73,7.29,9.99,36.75,23.16,5.73,39.76,387.78,66.29,2.21
,,6.58,26.30,321.99,358.63,10.15,12.27,51.07,17.64,5.90,16.69,181.24,80.12,10.23
,,7.87,29.15,751.06,396.73,4.15,28.94,50.67,22.91,12.48,34.24,73.52,66.00,1.52
,,7.08,26.24,365.02,378.97,9.31,96.20,65.86,36.36,11.55,14.29,75.48,33.79,19.16
,,6.75,28.25,287.11,233.85,11.19,20.27,61.95,13.36,10.98,11.67,297.62,52.47,12.45
,,6.45,29.77,586.41,373.66,7.86,112.45,65.23,24.09,9.97,28.15,211.05,33.10,15.93
,,7.39,25.81,606.53,383.77,6.93,109.42,12.76,40.73,12.03,4.61,142.69,28.27,19.03
,,8.02,29.39,574.92,290.57,9.92,6.48,9.86,22.08,11.43,40.41,320.57,50.81,9.74
,,8.61,25.75,305.36,306.02,4.95,38.37,48.97,2.48,4.60,3.89,72.01,45.84,3.26
,,7.45,25.73,728.86,377.62,10.06,29.79,9.13,12.37,1.34,39.25,145.68,57.24,6.13
,,7.95,26.42,532.25,315.06,7.14,33.67,5.11,42.33,8.79,37.60,330.63,11.18,0.97
,,7.86,29.07,306.81,324.06,3.03,97.03,17.04,3.61,13.83,13.69,74.76,86.06,18.96
,,7.36,29.69,697.83,323.62,2.61,17.23,29.08,40.31,0.94,29.63,304.31,62.45,8.92
,,9.48,26.27,555.57,297.17,4.77,20.54,47.91,42.30,11.08,2.68,162.36,84.85,9.37
,,8.60,28.94,517.44,339.78,6.13,79.34,67.19,23.86,0.89,27.04,265.05,8.18,13.56
,,8.97,27.48,766.80,283.98,3.89,69.25,52.97,3.35,4.48,9.37,62.66,27.32,10.08
,,9.34,25.28,763.06,373.08,6.21,108.12,46.59,19.04,9.46,39.24,270.34,84.21,8.14
,,7.74,27.76,311.07,405.77,11.40,89.59,10.14,14.62,8.50,18.90,245.34,65.16,14.46
,,6.71,29.63,488.23,304.57,4.29,20.69,42.63,5.71,6.54,12.98,178.15,72.13,16.56
,,7.05,26.42,334.63,280.74,6.74,98.14,48.04,29.50,0.84,13.61,217.34,38.47,3.04
,,7.34,28.99,548.51,232.89,9.99,68.34,48.49,20.46,3.67,29.30,111.52,24.12,6.81
,,7.94,29.59,654.42,190.85,9.88,64.45,33.92,21.31,6.67,26.39,394.79,44.09,6.41
,,7.17,29.42,655.43,330.44,8.42,72.36,11.78,12.09,12.73,13.07,379.72,8.09,1.45
,,6.86,26.01,639.36,312.74,0.93,32.63,6.23,8.06,9.95,0.87,370.90,37.06,11.14
,,6.50,28.60,335.67,281.76,7.09,52.59,40.95,24.79,3.46,29.47,78.64,10.53,12.66
,,8.67,27.15,376.40,185.37,9.38,21.17,23.78,32.63,6.73,23.95,264.50,32.49,3.08
,,8.83,26.79,614.04,383.52,2.39,97.93,8.50,41.63,6.40,18.35,347.45,9.05,19.02
,,7.10,27.65,547.37,327.14,4.59,96.63,3.91,10.05,4.17,9.57,224.44,40.80,18.72
,,6.61,26.86,796.84,380.23,4.36,101.92,53.14,12.64,8.98,6.79,306.35,23.92,0.37
,,7.76,29.16,526.12,214.68,6.54,108.79,59.53,29.42,13.53,27.91,191.46,12.87,6.52
,,6.98,27.39,736.52,238.83,6.30,52.48,38.04,9.56,11.90,8.96,284.37,81.73,4.03
,,9.52,30.03,707.92,269.92,10.99,75.14,5.10,10.03,2.08,22.78,110.50,52.31,12.19
,,9.33,29.58,793.46,354.35,10.21,103.56,26.47,30.11,4.69,38.94,361.74,57.13,11.02
,,8.17,26.08,770.85,231.91,8.04,31.83,18.83,37.20,14.69,16.03,81.19,63.17,0.43
,,8.26,29.85,671.96,286.63,5.24,68.70,65.89,39.94,12.88,17.34,338.39,78.90,11.21
,,8.02,27.73,621.82,257.54,3.76,59.79,20.40,4.33,2.21,31.16,102.27,29.59,14.20
,,6.67,26.85,708.81,352.08,8.93,32.81,4.92,30.67,12.29,3.67,346.72,85.21,0.08
,,8.62,28.57,790.53,343.86,8.21,105.00,32.48,25.49,13.41,34.39,299.82,43.20,13.08
,,6.81,26.63,685.82,388.88,8.03,78.03,67.84,9.38,5.51,1.95,398.92,36.53,13.16
,,9.43,26.49,311.97,254.91,7.30,85.82,55.69,3.73,6.63,22.11,292.64,37.38,12.97
,,8.38,26.20,582.76,337.01,5.31,21.88,7.54,17.62,12.34,22.59,325.77,90.35,17.47
,,7.75,26.22,359.11,379.44,5.40,56.25,51.05,41.36,10.43,33.48,344.43,76.07,7.15
,,8.32,29.21,442.18,382.67,10.47,21.44,35.06,15.82,0.43,5.96,232.04,52.61,16.05
,,9.41,25.55,562.81,189.20,7.64,34.13,23.56,11.57,5.86,32.07,311.04,92.15,7.97
,,8.14,26.32,756.12,264.03,2.84,60.59,15.03,38.05,2.10,20.35,307.75,28.81,12.22
,,7.75,29.31,631.54,198.37,10.34,84.12,34.55,18.29,4.35,27.80,61.24,86.90,10.24
,,9.15,29.25,309.03,364.59,3.85,60.52,5.11,26.16,5.25,38.86,115.84,7.62,14.88
,,9.04,29.12,544.38,191.33,10.65,33.53,41.07,1.34,11.14,35.68,184.02,37.73,10.47
,,9.34,27.79,365.64,235.97,7.05,5.70,5.16,22.07,9.77,10.09,176.41,33.32,12.19
,,8.94,26.72,598.08,296.73,4.71,88.45,44.84,40.80,8.26,22.95,66.42,59.06,13.35
,,8.48,26.05,637.93,305.57,11.28,75.96,67.34,24.30,12.46,10.46,177.90,43.43,10.04
,,9.54,26.91,630.71,313.31,3.49,74.99,30.85,7.60,12.61,40.68,220.75,35.50,7.10
,,9.08,25.90,296.74,317.66,10.06,90.57,68.35,37.62,4.74,2.35,84.92,33.75,3.85
,,7.51,25.38,687.49,382.97,4.60,34.41,62.35,13.08,4.91,28.37,278.96,88.78,11.56
,,8.92,26.41,305.02,386.78,9.99,44.84,22.96,26.43,3.65,1.73,73.15,58.01,11.27
,,7.48,29.69,789.48,203.59,6.67,42.10,42.20,29.16,8.35,5.34,211.44,9.63,2.43
,,6.68,28.15,522.82,249.49,5.84,38.68,28.13,25.37,3.85,19.29,294.52,77.18,9.54
,,8.96,29.25,448.48,242.91,1.25,45.20,22.90,37.36,1.33,3.64,296.09,37.76,6.11
,,9.12,27.33,671.47,392.13,8.05,91.09,12.36,6.24,11.69,32.17,89.58,3.77,7.08
,,8.50,28.14,293.77,395.56,5.06,6.78,43.05,37.76,14.56,1.01,230.16,78.93,11.44
,,8.88,28.38,772.62,306.06,4.50,72.14,16.66,7.87,13.39,31.15,69.89,55.00,17.36
,,6.65,27.57,638.45,278.07,5.51,44.06,6.82,38.14,1.77,27.31,260.97,68.27,8.97
,,8.01,30.09,752.26,342.20,5.34,72.41,33.24,13.08,14.24,39.80,169.30,36.08,6.20
,,9.42,28.66,382.42,266.73,9.47,84.94,4.50,19.46,6.20,5.01,153.40,12.42,11.62
,,9.09,30.06,634.72,246.18,0.18,32.56,49.97,35.51,7.72,40.62,279.74,82.21,7.35
,,9.40,28.09,429.93,402.36,3.94,79.22,60.30,36.93,9.69,24.03,259.16,73.56,4.42
,,8.16,27.45,362.50,396.37,10.66,102.67,5.08,18.20,1.11,6.39,197.45,79.39,17.84
,,8.16,28.75,463.27,256.66,4.13,3.03,52.69,19.79,4.20,24.81,121.30,35.62,5.60
,,9.42,29.43,495.55,189.29,4.77,62.62,16.07,38.13,1.87,9.09,110.21,31.19,13.62
,,7.29,25.45,528.66,262.08,8.69,55.39,63.17,26.28,13.28,24.55,320.35,62.37,9.33
,,7.62,27.39,462.00,341.92,3.33,33.87,63.75,9.08,4.52,25.47,204.01,28.68,9.67
,,6.44,29.20,633.70,321.87,0.97,5.64,19.28,30.10,12.96,37.96,231.39,21.83,11.30
,,8.74,29.93,352.60,307.88,3.63,86.00,23.23,23.59,6.74,33.69,104.27,61.19,15.95
,,7.44,28.97,497.72,315.64,2.21,42.07,6.33,40.79,9.70,25.92,397.38,75.85,9.64
,,6.77,25.25,304.54,342.91,2.18,82.99,25.00,15.33,8.17,30.04,329.57,81.81,12.58
,,9.10,26.50,315.54,200.07,8.11,95.66,1.65,34.16,2.68,19.14,343.27,51.85,0.37
